page	characters	lines	words
1	92	8	13
2	82	3	11
3	828	11	119
4	367	14	61
5	946	18	183
6	1340	21	238
7	943	20	169
8	1995	34	354
9	1990	34	325
10	1857	31	323
11	1699	29	293
12	1787	29	309
13	2302	35	410
14	394	7	68
15	1584	30	273
16	1623	32	261
17	1602	30	271
18	1782	29	285
19	1411	25	262
20	1861	31	317
21	2174	35	395
22	1842	31	332
23	1845	29	316
24	1662	31	298
25	1890	32	337
26	1812	31	313
27	1757	32	299
28	721	14	108
29	1250	22	207
30	1874	30	321
31	2153	34	370
32	1734	30	312
33	1924	32	340
34	1678	29	295
35	1779	30	320
36	1716	32	320
37	1877	34	304
38	2159	35	367
39	1981	34	334
40	598	10	102
41	1495	25	251
42	1757	30	305
43	1971	32	343
44	1985	33	351
45	1934	33	332
46	1836	31	315
47	1875	31	321
48	2158	36	383
49	2149	35	373
50	394	7	66
51	1432	24	238
52	1797	30	309
53	2043	33	356
54	2041	33	352
55	1658	31	291
56	1979	34	336
57	1893	33	303
58	1845	31	315
59	1666	31	283
60	2041	34	341
61	1871	31	336
62	1988	31	338
63	1946	34	330
64	1736	32	299
65	1013	18	170
66	1398	24	244
67	1672	31	269
68	1844	31	321
69	2110	35	371
70	1816	32	307
71	1867	31	320
72	1771	32	317
73	1844	31	337
74	1749	30	302
75	1751	31	310
76	2112	35	373
77	1860	28	334
78	1279	23	223
79	1845	31	339
80	2060	33	380
81	1912	31	335
82	2088	33	371
83	2048	32	341
84	1847	33	310
85	2092	36	354
86	1638	29	273
87	1786	32	305
88	1955	34	345
89	1867	31	328
90	1889	33	350
91	1812	33	309
92	1967	31	336
93	1362	24	232
94	1685	30	296
95	1746	32	316
96	1824	31	321
97	2120	34	341
98	1814	32	298
99	1869	33	305
100	1781	31	311
101	1907	33	316
102	1703	32	296
103	1944	32	335
104	343	5	55
105	1407	23	246
106	1951	32	348
107	1878	32	333
108	1437	28	255
109	2000	33	348
110	1511	30	252
111	1847	30	312
112	1944	33	350
113	1456	30	257
114	1699	31	301
115	1756	31	300
116	166	3	34
117	1600	25	286
118	1800	30	288
119	1866	30	322
120	2035	33	360
121	1876	33	322
122	2054	33	338
123	1974	33	337
124	1782	32	284
125	1900	32	316
126	2128	34	340
127	1119	20	199
128	1232	22	197
129	1813	32	296
130	1855	31	321
131	1744	30	302
132	1803	31	313
133	1514	30	250
134	1657	30	276
135	1535	30	273
136	1788	32	331
137	2036	33	328
138	1843	32	319
139	961	20	170
140	194	4	30
